	Token Name: INTEGER 	Lexeme: int 	 Lineno: 1
	Token Name: NAME 	Lexeme: date 	 Lineno: 1
	Token Name: COMMA 	Lexeme: , 	 Lineno: 1
	Token Name: NAME 	Lexeme: time 	 Lineno: 1
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 1
	Token Name: VOID 	Lexeme: void 	 Lineno: 3
	Token Name: NAME 	Lexeme: main 	 Lineno: 3
	Token Name: LEFT_ROUND_BRACKET 	Lexeme: ( 	 Lineno: 3
	Token Name: RIGHT_ROUND_BRACKET 	Lexeme: ) 	 Lineno: 3
	Token Name: LEFT_CURLY_BRACKET 	Lexeme: { 	 Lineno: 3
	Token Name: NAME 	Lexeme: time 	 Lineno: 4
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 4
	Token Name: INT_NUM 	Lexeme: 9 	 Lineno: 4
	Token Name: MULT 	Lexeme: * 	 Lineno: 4
	Token Name: INT_NUM 	Lexeme: 2 	 Lineno: 4
	Token Name: DIV 	Lexeme: / 	 Lineno: 4
	Token Name: INT_NUM 	Lexeme: 3 	 Lineno: 4
	Token Name: MULT 	Lexeme: * 	 Lineno: 4
	Token Name: INT_NUM 	Lexeme: 1 	 Lineno: 4
	Token Name: PLUS 	Lexeme: + 	 Lineno: 4
	Token Name: INT_NUM 	Lexeme: 5 	 Lineno: 4
	Token Name: MULT 	Lexeme: * 	 Lineno: 4
	Token Name: INT_NUM 	Lexeme: 9 	 Lineno: 4
	Token Name: DIV 	Lexeme: / 	 Lineno: 4
	Token Name: INT_NUM 	Lexeme: 3 	 Lineno: 4
	Token Name: MULT 	Lexeme: * 	 Lineno: 4
	Token Name: INT_NUM 	Lexeme: 2 	 Lineno: 4
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 4
	Token Name: NAME 	Lexeme: date 	 Lineno: 5
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 5
	Token Name: MINUS 	Lexeme: - 	 Lineno: 5
	Token Name: LEFT_ROUND_BRACKET 	Lexeme: ( 	 Lineno: 5
	Token Name: NAME 	Lexeme: time 	 Lineno: 5
	Token Name: MULT 	Lexeme: * 	 Lineno: 5
	Token Name: NAME 	Lexeme: time 	 Lineno: 5
	Token Name: RIGHT_ROUND_BRACKET 	Lexeme: ) 	 Lineno: 5
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 5
	Token Name: WRITE 	Lexeme: print 	 Lineno: 6
	Token Name: NAME 	Lexeme: date 	 Lineno: 6
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 6
	Token Name: RIGHT_CURLY_BRACKET 	Lexeme: } 	 Lineno: 7
