	Token Name: VOID 	Lexeme: void 	 Lineno: 1
	Token Name: NAME 	Lexeme: main 	 Lineno: 1
	Token Name: LEFT_ROUND_BRACKET 	Lexeme: ( 	 Lineno: 1
	Token Name: RIGHT_ROUND_BRACKET 	Lexeme: ) 	 Lineno: 1
	Token Name: LEFT_CURLY_BRACKET 	Lexeme: { 	 Lineno: 2
	Token Name: INTEGER 	Lexeme: int 	 Lineno: 3
	Token Name: NAME 	Lexeme: a 	 Lineno: 3
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 3
	Token Name: INTEGER 	Lexeme: int 	 Lineno: 4
	Token Name: NAME 	Lexeme: b 	 Lineno: 4
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 4
	Token Name: INTEGER 	Lexeme: int 	 Lineno: 5
	Token Name: NAME 	Lexeme: c 	 Lineno: 5
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 5
	Token Name: INTEGER 	Lexeme: int 	 Lineno: 6
	Token Name: NAME 	Lexeme: d 	 Lineno: 6
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 6
	Token Name: INTEGER 	Lexeme: int 	 Lineno: 7
	Token Name: NAME 	Lexeme: ans 	 Lineno: 7
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 7
	Token Name: READ 	Lexeme: read 	 Lineno: 8
	Token Name: NAME 	Lexeme: a 	 Lineno: 8
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 8
	Token Name: READ 	Lexeme: read 	 Lineno: 9
	Token Name: NAME 	Lexeme: b 	 Lineno: 9
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 9
	Token Name: READ 	Lexeme: read 	 Lineno: 10
	Token Name: NAME 	Lexeme: c 	 Lineno: 10
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 10
	Token Name: READ 	Lexeme: read 	 Lineno: 11
	Token Name: NAME 	Lexeme: d 	 Lineno: 11
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 11
	Token Name: NAME 	Lexeme: ans 	 Lineno: 12
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 12
	Token Name: NAME 	Lexeme: a 	 Lineno: 12
	Token Name: PLUS 	Lexeme: + 	 Lineno: 12
	Token Name: NAME 	Lexeme: b 	 Lineno: 12
	Token Name: PLUS 	Lexeme: + 	 Lineno: 12
	Token Name: NAME 	Lexeme: c 	 Lineno: 12
	Token Name: PLUS 	Lexeme: + 	 Lineno: 12
	Token Name: NAME 	Lexeme: d 	 Lineno: 12
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 12
	Token Name: WRITE 	Lexeme: print 	 Lineno: 13
	Token Name: NAME 	Lexeme: ans 	 Lineno: 13
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 13
	Token Name: NAME 	Lexeme: ans 	 Lineno: 14
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 14
	Token Name: NAME 	Lexeme: ans 	 Lineno: 14
	Token Name: MULT 	Lexeme: * 	 Lineno: 14
	Token Name: NAME 	Lexeme: a 	 Lineno: 14
	Token Name: DIV 	Lexeme: / 	 Lineno: 14
	Token Name: NAME 	Lexeme: c 	 Lineno: 14
	Token Name: PLUS 	Lexeme: + 	 Lineno: 14
	Token Name: NAME 	Lexeme: d 	 Lineno: 14
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 14
	Token Name: RIGHT_CURLY_BRACKET 	Lexeme: } 	 Lineno: 15
